head,relation,tail,verdict_qwen,verdict_gpt
local dns server,sends,ip address,yes,yes
p2p architecture,enables,file distribution,yes,yes
http client,communicates_with,socket,yes,yes
p2p architecture,enables,data distribution,yes,yes
propagation delay,increases,packet delay,yes,yes
dash,provides,video streaming,yes,yes
http,provides,message header,,yes
smtp,operates_at,application protocol,yes,yes
tcp,implements,error detection,yes,yes
tcp,provides,data transmission,yes,yes
tcp,implements,data transfer,yes,yes
tcp,implements,traffic control,yes,yes
smtp,provides,message protocol,,yes
wifi,operates_at,link,yes,yes
http,provides,service,no,yes
http,provides,data transfer,yes,yes
wifi,operates_at,layer,yes,yes
packet switching,provides,data transmission,yes,yes
ethernet,operates_at,data link layer,yes,yes
router,forwards,packets,yes,yes
router,forwards,network packets,yes,yes
router,forwards,internet packets,yes,yes
router,forwards,control packets,yes,yes
router,receives,data,yes,yes
web server,is_a,application server,,yes
router,sends,the route to destination,yes,no
web server,is_a,http server,yes,yes
access network,connects_to,core network,yes,yes
web server,is_a,host,yes,yes
access network,connects_to,gateway,yes,yes
access network,connects_to,end device,yes,yes
dsl modem,connects_to,access gateway,yes,yes
access network,connects_to,home network,yes,yes
dsl modem,connects_to,device,yes,yes
dsl modem,connects_to,home network,yes,yes
access network,connects_to,wireless link,,yes
dsl modem,connects_to,lan,yes,yes
dsl modem,connects_to,network,yes,yes
dsl modem,connects_to,link,yes,yes
dsl,supports,internet access,yes,yes
dsl modem,connects_to,gateway,yes,yes
dsl modem,connects_to,cable,yes,yes
dsl,supports,data network,yes,yes
dsl,supports,home network,yes,yes
cable internet access,requires,cable infrastructure,yes,yes
cable internet access,requires,cable network,yes,yes
cable internet access,requires,cable and internet infrastructure,yes,yes
dsl,supports,wireless access,yes,yes
fiber optics,connects_to,home,yes,yes
dsl modem,connects_to,home lan,yes,yes
fiber optics,connects_to,base station,yes,yes
fiber optics,connects_to,access point,,yes
cable head end,has_part,fiber link,yes,no
fiber optics,connects_to,core network,yes,yes
dsl modem,connects_to,gateway device,yes,yes
dsl modem,connects_to,wireless access,,yes
ethernet,has_part,wire,yes,yes
dsl modem,connects_to,ap,yes,yes
ethernet,has_part,cable,yes,yes
ethernet,operates_at,data link,yes,yes
cable internet access,requires,transmission channel,yes,yes
cable internet access,requires,wire,yes,yes
cable internet access,requires,bandwidth,yes,yes
cable internet access,requires,broadcast channel,no,yes
dsl,supports,data link,yes,yes
dsl,supports,network layer,yes,yes
dsl,supports,ethernet protocol,,yes
dsl,requires,bandwidth,yes,no
home router,connects_to,internet,yes,yes
home router,connects_to,home network,yes,yes
dsl,requires,channel control,no,yes
dsl,requires,data transmission,yes,no
home router,connects_to,network link,yes,yes
wifi wireless router,connects_to,access point,yes,yes
home router,connects_to,gateway,yes,yes
wifi wireless router,connects_to,base station,,yes
base station,communicates_with,home,no,yes
base station,communicates_with,a device,,yes
ethernet switch,connects_to,network,yes,yes
ethernet switch,connects_to,internet,yes,no
ethernet switch,connects_to,access layer,yes,no
ethernet switch,connects_to,edge switch,yes,yes
ethernet switch,connects_to,access point,yes,yes
wifi,operates_at,data link,yes,yes
ethernet switch,connects_to,wireless network,,yes
ethernet,operates_at,access layer,,yes
wifi,operates_at,access network,,yes
wifi,operates_at,wireless network,no,yes
ethernet switch,connects_to,lan,no,yes
access point,connects_to,network,yes,yes
access point,connects_to,ethernet network,yes,yes
base station,communicates_with,wireless device,yes,yes
home router,connects_to,wireless access point,yes,yes
access point,connects_to,wireless network,yes,yes
home router,connects_to,base station,yes,yes
home router,connects_to,other device,yes,yes
base station,communicates_with,wireless ap,,yes
base station,communicates_with,wireless network,,yes
dsl,supports,wireless networks,no,yes
dsl,supports,mobile devices,no,yes
hfc,has_part,network cable,yes,yes
dsl,supports,ethernet,,yes
wifi,operates_at,link layer,yes,yes
router,receives,data packet,yes,yes
wifi,operates_at,access layer,,yes
dsl,supports,network,yes,yes
end system,sends,the other system,yes,no
fiber optics,connects_to,network,,yes
fiber optics,connects_to,access network,,yes
fiber optics,connects_to,link,,yes
fiber optics,connects_to,gateway,no,yes
end system,connects_to,destination end system,yes,yes
packet switch,connects_to,link,yes,yes
packet switch,forwards,packets,yes,yes
router,communicates_with,switch,yes,yes
packet switch,connects_to,network channel,yes,yes
packet switch,forwards,data,yes,yes
packet switch,connects_to,output port,,yes
router,forwards,data,yes,yes
router,receives,the packet,yes,yes
dsl,requires,network,yes,yes
router,communicates_with,destination node,yes,yes
router,connects_to,input link,yes,yes
router,sends,a route,yes,yes
router,sends,the route,yes,yes
router,connects_to,output link,yes,yes
router,part_of,network,yes,yes
router,has_part,input link,yes,yes
router,has_part,output link,yes,no
router,communicates_with,client,yes,yes
router,communicates_with,destination,,yes
router,connects_to,source,no,yes
router,sends,packet to destination,yes,yes
router,sends,packet from input to output,,yes
router,has_part,forward table,yes,yes
router,sends,packet to the destination,yes,yes
router,forwards,transmitted packet,yes,yes
router,forwards,outgoing packet,yes,yes
router,sends,packet to gateway,yes,yes
router,forwards,packet information,yes,yes
router,sends,the packet,yes,yes
router,receives,input packets,yes,yes
router,receives,packets,yes,yes
router,receives,input packet,yes,yes
router,connects_to,link,yes,yes
router,sends,the same packet,,yes
router,communicates_with,source,no,yes
propagation delay,increases,time delay,no,yes
router,sends,packet to output,yes,no
router,sends,packet to route,yes,no
packet,contains,data,yes,yes
router,part_of,destination path,,yes
router,receives,source packet,,yes
router,sends,source packet,no,yes
router,communicates_with,gateway,yes,yes
router,communicates_with,node,,yes
router,forwards,packet sequence,yes,yes
router,connects_to,next node,yes,yes
router,is_a,the gateway,yes,no
router,receives,next packet,yes,yes
router,receives,first packet,,yes
packet,contains,header,yes,yes
router,receives,packet from destination,yes,yes
packet,contains,sequence number,,yes
link,part_of,network,yes,yes
link,provides,rate,no,yes
link,provides,transmission,yes,yes
link,supports,packet transmission,yes,yes
router,forwards,output packet,yes,yes
router,forwards,information,yes,yes
packet switch,connects_to,network,yes,yes
output buffer,part_of,output queue,,yes
packet switch,connects_to,destination,no,yes
output buffer,causes,delay,yes,yes
output buffer,part_of,node,yes,yes
output buffer,part_of,port,yes,yes
output buffer,causes,output queue,no,yes
output buffer,causes,congestion,yes,yes
congestion,increases,packet loss,yes,yes
congestion,causes,buffer delay,yes,yes
congestion,increases,queue length,yes,yes
congestion,increases,buffer delay,yes,yes
congestion,causes,output queue,,yes
router,forwards,transmitted data,yes,yes
router,communicates_with,host b,yes,yes
congestion,causes,link collision,yes,no
router,forwards,outgoing traffic,yes,yes
router,receives,packet data,yes,yes
router,has_part,output queue,yes,yes
router,receives,packet to destination,yes,yes
router,sends,output packets,yes,yes
router,has_part,input queue,yes,yes
router,sends,packets,yes,yes
router,sends,packets to gateway,yes,yes
queuing delay,part_of,packet delay,yes,yes
queuing delay,part_of,link delay,yes,yes
queuing delay,part_of,network delay,yes,yes
output buffer,causes,queue,,yes
queuing delay,increases,packet loss,no,yes
queuing delay,increases,queue length,yes,no
router,communicates_with,remote host,yes,yes
router,forwards,network packet,yes,yes
router,forwards,ip packet,yes,yes
router,connects_to,destination network,yes,yes
router,connects_to,source link,yes,yes
router,receives,packet from source,yes,yes
router,receives,packet with ip,yes,yes
router,receives,packet in link,yes,yes
ip address,identifies,destination host,yes,yes
router,receives,packet through gateway,yes,yes
ip address,identifies,network device,yes,yes
router,connects_to,gateway,yes,yes
router,sends,to the host and to the gateway,yes,no
router,forwards,data packet,yes,yes
router,has_part,routing table,yes,yes
router,is_a,gateway,yes,yes
router,has_part,destination entry,yes,yes
forwarding table,part_of,network node,yes,yes
router,receives,destination address,,yes
router,forwards,destination packet,yes,yes
router,has_part,packet forward,yes,no
router,receives,source address,no,yes
routing protocol,enables,routing table,,yes
routing protocol,enables,packet forward,yes,yes
circuit,implements,connection,yes,yes
circuit,implements,transmission,no,yes
circuit,implements,channel,yes,no
circuit switching,causes,delay,yes,yes
circuit switching,causes,idle slot,yes,yes
circuit switching,causes,idle bandwidth,yes,yes
circuit switching,causes,idle channel,yes,yes
circuit switching,causes,idle transmission,yes,yes
circuit switching,causes,idle rate,,yes
packet switching,provides,bandwidth efficiency,yes,yes
circuit switching,causes,link idle,,yes
